name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Asus VivoBook Go 14 E1404FA-NK3325W...,Asus VivoBook Go 14 E1404FA-NK3325WS Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1404fa-nk3325ws-168068-v1-small-1.jpg?tr=q-80,31990,2430,84,Jan 2025,- Windows 11,AMD Quad-Core Ryzen 3 (7320U) 4.1 Ghz,Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,74
Acer Aspire 3 A311-45 (UN.354SI.004...,Acer Aspire 3 A311-45 (UN.354SI.004) Laptop (Intel Celeron Dual Core/8 GB/256 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-004-167160-v1-small-1.jpg?tr=q-80,17990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 256 GB SSD","11.6"" (29.46 cm), 1366 x 768 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Asus Vivobook Go 15 E1504FA-NJ5542W...,Asus Vivobook Go 15 E1504FA-NJ5542WS Laptop (AMD Quad Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1504fa-nj5542ws-169700-v1-small-1.jpg?tr=q-80,41500,1065,84,May 2025,- Windows 11,AMD Quad-Core Ryzen 5 (7520U) 4.3 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,74
Lenovo LOQ 15ARP9 (83JC00CLIN) Lapt...,Lenovo LOQ 15ARP9 (83JC00CLIN) Laptop (AMD Quad Core Ryzen 5/12 GB/512 GB SSD/Windows 11/6 GB) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15arp9-83jc00clin-169593-v1-small-1.jpg?tr=q-80,63990,369,86,May 2025,- Windows 11,AMD Quad-Core Ryzen 5 (7235HS) 4.2 Ghz,Windows 11,"12 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,81
Apple MacBook Air M2 MC7W4HN/A Ultr...,Apple MacBook Air M2 MC7W4HN/A Ultrabook (Apple M2/16 GB/256 GB SSD/macOS Sequoia) price in India,//www.91-img.com/pictures/laptops/apple/apple-m2-mc7w4hn-a-165735-v1-small-1.jpg?tr=q-80,77990,19250,94,Nov 2024,- macOS Sequoia,"Apple M2, Octa-Core",macOS Sequoia,"16 GB Unified Memory RAM, 256 GB SSD","13.6"" (34.54 cm), 2560 x 1664 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 11.3 mm,,,81
Samsung Galaxy Book 4 NP750XGJ-LG4I...,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/samsung/samsung-np750xgj-lg4in-164643-v1-small-1.jpg?tr=q-80,36990,4067,90,Sep 2024,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB LPDDR4X RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 15.4 mm,HDMI Port,,72
Acer Aspire 3 A311-45 (UN.354SI.002...,Acer Aspire 3 A311-45 (UN.354SI.002) Laptop (Intel Celeron Dual Core/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-002-167189-v1-small-1.jpg?tr=q-80,19990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","11.6"" (29.46 cm), 1366 x 768 px Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Acer Aspire 3 A311-45 (UN.354SI.006...,Acer Aspire 3 A311-45 (UN.354SI.006) Laptop (Celeron Dual Core/8 GB/128 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a311-45-un-354si-006-167199-v1-small-1.jpg?tr=q-80,15990,1528,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 128 GB SSD","11.6"" (29.46 cm), 1366 x 768 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 16.8 mm,HDMI Port,,
Asus VivoBook 15 X1504ZA-NJ549WS La...,Asus VivoBook 15 X1504ZA-NJ549WS Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504za-nj549ws-164810-v1-small-1.jpg?tr=q-80,46990,7791,84,Sep 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,75
Asus VivoBook 15 X1504ZA-NJ527WS La...,Asus VivoBook 15 X1504ZA-NJ527WS Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504za-nj527ws-166588-v1-small-1.jpg?tr=q-80,42990,7783,84,Dec 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,
Asus VivoBook 15 X1504ZA-NJ540WS La...,Asus VivoBook 15 X1504ZA-NJ540WS Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504za-nj540ws-164661-v1-small-1.jpg?tr=q-80,45990,7783,84,Sep 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,75
Acer Aspire Lite AL15-53 (UN.34ESI....,Acer Aspire Lite AL15-53 (UN.34ESI.00D) Laptop (Core i3 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-al15-53-un-34esi-00d-165888-v1-small-1.jpg?tr=q-80,33800,399,80,Oct 2024,- Windows 11,Intel Core i3 (13th Gen) 4.5 Ghz,Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TFT Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,78
Asus TUF Gaming A15 FA566NCR-HN254W...,Asus TUF Gaming A15 FA566NCR-HN254WS Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-fa566ncr-hn254ws-168440-v1-small-1.jpg?tr=q-80,70026,304,78,Apr 2025,- Windows 11,AMD Octa-Core Ryzen 7 (7435HS) 4.5 Ghz,Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,82
Asus Vivobook Go 15 E1504FA-NJ131WS...,Asus Vivobook Go 15 E1504FA-NJ131WS Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1504fa-nj131ws-168438-v1-small-1.jpg?tr=q-80,31990,3181,84,Apr 2025,- Windows 11,AMD Quad-Core Ryzen 3 (7320U) 4.1 Ghz,Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1200 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,72
Acer Aspire 3 A324-53 (UN.34RSI.00B...,Acer Aspire 3 A324-53 (UN.34RSI.00B) Laptop (Core i3 13th Gen/8 GB/256 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-53-un-34rsi-00b-167290-v1-small-1.jpg?tr=q-80,29990,1763,84,Feb 2025,- Windows 11,Intel Core i3 (13th Gen) 4.5 Ghz,Windows 11,"8 GB DDR4 RAM, 256 GB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.4 mm,HDMI Port,,76
Acer Aspire 3 A324-53 (UN.34RSI.002...,Acer Aspire 3 A324-53 (UN.34RSI.002) Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-53-un-34rsi-002-165197-v1-small-1.jpg?tr=q-80,33990,1763,84,Oct 2024,- Windows 11,Intel Core i3 (13th Gen) 4.5 Ghz,Windows 11,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.4 mm,HDMI Port,,78
Asus Vivobook Go 15 E1504GA-NJ3322W...,Asus Vivobook Go 15 E1504GA-NJ3322WS Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1504ga-nj3322ws-169078-v1-small-1.jpg?tr=q-80,30990,309,84,Jan 2025,- Windows 11,"Intel Core i3 (12th Gen) 3.8 Ghz, Octa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,73
HP Pavilion 16-af0056TU (B13XTPA) L...,HP Pavilion 16-af0056TU (B13XTPA) Laptop (Core Ultra 5/16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-16-af0056tu-b13xtpa-166529-v1-small-1.jpg?tr=q-80,75990,384,84,Sep 2024,- Windows 11,Intel Core Ultra 5 4.3 Ghz,Windows 11,"16 GB LPDDR5 RAM, 1 TB SSD","16"" (40.64 cm), 1920 x 1200 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,82
Asus VivoBook 15 X1504VA-NJ2325WS L...,Asus VivoBook 15 X1504VA-NJ2325WS Laptop (Core i3 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504va-nj2325ws-168072-v1-small-1.jpg?tr=q-80,41990,335,84,Jan 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,77
Acer Aspire Lite AL15-52H (UN.347SI...,Acer Aspire Lite AL15-52H (UN.347SI.007) Laptop (Core i5 12th Gen/12 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-al15-52h-un-347si-007-164878-v1-small-1.jpg?tr=q-80,44990,711,82,Sep 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Octa-Core",Windows 11,"12 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.3 mm,HDMI Port,3 USB Ports,74
HP 15-fd0577TU (BG6E4PA) Laptop (Co...,HP 15-fd0577TU (BG6E4PA) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0577tu-bg6e4pa-laptop-core-i5-16-gb-512-gb-ssd-windows-11-169164-v12-small-1.jpg?tr=q-80,56990,7,68,Apr 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 18.6 mm,HDMI Port,,79
HP 15s-GR0007AU (21W93PA) Laptop (A...,HP 15s-GR0007AU (21W93PA) Laptop (AMD Dual Core Ryzen 3/4 GB/1 TB/Windows 10) price in India,//www.91-img.com/pictures/laptops/hp/hp-15s-gr0007au-21w93pa-139648-v1-small-1.jpg?tr=q-80,35274,1925,78,Aug 2020,- Windows 10,AMD Dual-Core Ryzen 3 (3250U) 3.5 Ghz,Windows 10,"4 GB DDR4 RAM, 1 TB HDD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,
Asus ExpertBook P1 P1403CVA-S60938W...,Asus ExpertBook P1 P1403CVA-S60938WS Laptop (Core i3 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-expertbook-p1403cva-s60938ws-laptop-core-i3-13th-gen-16-gb-512-gb-ssd-windows-11-168555-v2-small-1.jpg?tr=q-80,39990,241,80,Apr 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.7 mm,HDMI Port,,79
Asus ExpertBook P1 P1503CVA-S71074W...,Asus ExpertBook P1 P1503CVA-S71074WS Laptop (Core i3 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-p1503cva-s71074ws-168560-v2-small-1.jpg?tr=q-80,39990,241,80,Apr 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,79
Asus ExpertBook P1 P1503CVA-S70501W...,Asus ExpertBook P1 P1503CVA-S70501WS Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-p1503cva-s70501ws-168562-v1-small-1.jpg?tr=q-80,37990,241,80,Apr 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,78
Asus ExpertBook P1 P1403CVA-S60343W...,Asus ExpertBook P1 P1403CVA-S60343WS Laptop (Core i3 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-p1403cva-s60343ws-168557-v2-small-1.jpg?tr=q-80,37990,241,80,Apr 2025,- Windows 11,"Intel Core i3 (13th Gen) 4.5 Ghz, Hexa-Core",Windows 11,"8 GB DDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.7 mm,HDMI Port,,78
Acer Aspire Lite AL15-41 (UN.31ZSI....,Acer Aspire Lite AL15-41 (UN.31ZSI.026) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-al15-41-un-31zsi-026-168243-v1-small-1.jpg?tr=q-80,35990,1161,82,Mar 2025,- Windows 11,AMD Hexa-Core Ryzen 5 (5625U) 4.3 Ghz,Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.7 mm,HDMI Port,,
Acer Aspire Lite AL15-41 (UN.31ZSI....,Acer Aspire Lite AL15-41 (UN.31ZSI.01B) Laptop (AMD Hexa Core Ryzen 5/16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-al15-41-un-31zsi-01b-164829-v1-small-1.jpg?tr=q-80,41690,1161,82,Sep 2024,- Windows 11,AMD Hexa-Core Ryzen 5 (5500U) 4.0 Ghz,Windows 11,"16 GB DDR4 RAM, 1 TB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,
Acer Aspire Lite AL15-41 (UN.31ZSI....,Acer Aspire Lite AL15-41 (UN.31ZSI.00Y) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-al15-41-un-31zsi-00y-162915-v1-small-1.jpg?tr=q-80,39999,1161,82,Jun 2024,- Windows 11,AMD Hexa-Core Ryzen 5 (5500U) 4 Ghz,Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,72
Apple MacBook Air M3 MXCU3HN/A Ultr...,Apple MacBook Air M3 MXCU3HN/A Ultrabook (Apple M3/16 GB/512 GB SSD/macOS Sonoma) price in India,//www.91-img.com/pictures/laptops/apple/apple-m3-mxcu3hn-a-165756-v1-small-1.jpg?tr=q-80,127990,425,94,Nov 2024,- macOS Sonoma,"Apple M3 4.1 Ghz, Octa-Core",macOS Sonoma,"16 GB Unified Memory RAM, 512 GB SSD","13.6"" (34.54 cm), 2560 x 1664 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 11.3 mm,,,84
Asus ExpertBook P1 P1503CVA-S70611W...,Asus ExpertBook P1 P1503CVA-S70611WS Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-p1503cva-s70611ws-168564-v1-small-1.jpg?tr=q-80,55990,256,86,Apr 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Octa-Core",Windows 11,"16 GB DDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,79
Asus ExpertBook P1 P1403CVA-S60939W...,Asus ExpertBook P1 P1403CVA-S60939WS Laptop (Core i5 13th Gen/32 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-p1403cva-s60939ws-168568-v2-small-1.jpg?tr=q-80,62990,256,86,Apr 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Octa-Core",Windows 11,"32 GB DDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 19.7 mm,HDMI Port,,80
Asus VivoBook 15 X1504VA-NJ2217WS L...,Asus VivoBook 15 X1504VA-NJ2217WS Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504va-nj2217ws-168392-v2-small-1.jpg?tr=q-80,55990,134,86,Feb 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,78
Asus VivoBook 15 X1504VA-NJ1765WS L...,Asus VivoBook 15 X1504VA-NJ1765WS Laptop (Core i5 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1504va-nj1765ws-168855-v2-small-1.jpg?tr=q-80,45990,134,86,Feb 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,78
Dell Vostro 3520 (VN3520CYGGW002ORG...,Dell Vostro 3520 (VN3520CYGGW002ORG1) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/dell/dell-3520-vn3520cyggw002org1-167982-v1-small-1.jpg?tr=q-80,49990,299,82,Mar 2025,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Dell Vostro 3520 (VN35205KF55002ORG...,Dell Vostro 3520 (VN35205KF55002ORG1) Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/dell/dell-3520-vn35205kf55002org1-167979-v1-small-1.jpg?tr=q-80,42990,299,82,Mar 2025,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",,Bluetooth,Web Camera,,HDMI Port,,
Asus VivoBook 15 X515JA-BQ322WS Lap...,Asus VivoBook 15 X515JA-BQ322WS Laptop (Core i3 10th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-vivobook-15-x515ja-bq322ws-laptop-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-151659-v3-small-1.jpg?tr=q-80,27990,12705,86,Jul 2022,- Windows 11,"Intel Core i3 (10th Gen) 3.4 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,
Acer Aspire 3 A324-53 (UN.34RSI.007...,Acer Aspire 3 A324-53 (UN.34RSI.007) Laptop (Core i5 13th Gen/16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-53-un-34rsi-007-167161-v1-small-1.jpg?tr=q-80,51990,252,86,Jan 2025,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 1 TB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.4 mm,HDMI Port,,79
Acer Aspire 3 A324-53 (UN.34RSI.004...,Acer Aspire 3 A324-53 (UN.34RSI.004) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-53-un-34rsi-004-167106-v1-small-1.jpg?tr=q-80,48990,252,86,Dec 2024,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.4 mm,HDMI Port,,78
Acer Aspire 3 A324-53 (UN.34RSI.006...,Acer Aspire 3 A324-53 (UN.34RSI.006) Laptop (Core i5 13th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-53-un-34rsi-006-167107-v1-small-1.jpg?tr=q-80,46990,252,86,Dec 2024,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Deca-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.4 mm,HDMI Port,,78
Acer Aspire 7 A715-79G (UN.34NSI.00...,Acer Aspire 7 A715-79G (UN.34NSI.001) Laptop (Core i5 13th Gen/8 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/acer/acer-a715-79g-un-34nsi-001-164153-v1-small-1.jpg?tr=q-80,57990,2125,86,Aug 2024,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Octa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,84
Asus Vivobook Go 15 E1504FA-NJ549WS...,Asus Vivobook Go 15 E1504FA-NJ549WS Laptop (AMD Quad Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1504fa-nj549ws-164452-v1-small-1.jpg?tr=q-80,40990,218,80,Aug 2024,- Windows 11,AMD Quad-Core Ryzen 5 (7520U) 4.3 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,73
Lenovo Ideapad Slim 5x 14Q8X9 (83HL...,Lenovo Ideapad Slim 5x 14Q8X9 (83HL0035IN) Laptop (Snapdragon X Plus/16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-14q8x9-83hl0035in-165240-v1-small-1.jpg?tr=q-80,64990,239,82,Oct 2024,- Windows 11,"Snapdragon X Plus 3.4 Ghz, Octa-Core",Windows 11,"16 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 1920 x 1200 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 16.9 mm,HDMI Port,,80
Asus VivoBook Go 14 E1404FA-NK3321W...,Asus VivoBook Go 14 E1404FA-NK3321WS Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-e1404fa-nk3321ws-168074-v1-small-1.jpg?tr=q-80,33990,2430,84,Jan 2025,- Windows 11,AMD Quad-Core Ryzen 3 (7320U) 4.1 Ghz,Windows 11,"8 GB LPDDR5 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,74
Lenovo IdeaPad 15ALC7 (82R4010DIN) ...,Lenovo IdeaPad 15ALC7 (82R4010DIN) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15alc7-82r4010din-166906-v1-small-1.jpg?tr=q-80,37990,8463,84,Jan 2025,- Windows 11,AMD Hexa-Core Ryzen 5 (5625U) 4.3 Ghz,Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,73
